HOG	OG	Gene Tree Parent Clade	Acinetobacter_baumannii_19606	Acinetobacter_baumannii_AB030	Acinetobacter_baumannii_AB5075_UW	Acinetobacter_baumannii_ATCC_17978	Escherichia_coli_BW25113	Escherichia_coli_MG1655	Pseudomonas_aeruginosa_PAO1
N0.HOG0003676	OG0003606	-					BW25113_0191	b0191	PA0868
N0.HOG0003677	OG0003607	-					BW25113_0200	b0200	PA0006
N0.HOG0003678	OG0003608	-					BW25113_0213	b0213	PA1814
N0.HOG0003679	OG0003609	-					BW25113_0224	b0224	PA3756
N0.HOG0003680	OG0003610	-					BW25113_0228	b0228	PA1154
N0.HOG0003681	OG0003611	-					BW25113_0283	b0283	PA4618
N0.HOG0003682	OG0003612	-					BW25113_0284	b0284	PA1933
N0.HOG0003683	OG0003613	-					BW25113_0285	b0285	PA1932
N0.HOG0003684	OG0003614	-					BW25113_0334	b0334	PA0792
N0.HOG0003685	OG0003615	-					BW25113_0335	b0335	PA3568
N0.HOG0003686	OG0003616	-					BW25113_0336	b0336	PA0438
N0.HOG0003687	OG0003617	-					BW25113_0337	b0337	PA0437
N0.HOG0003688	OG0003618	-					BW25113_0340	b0340	PA2052
N0.HOG0003689	OG0003619	-					BW25113_0346	b0346	PA4341
N0.HOG0003690	OG0003620	-					BW25113_0376	b0376	PA1797
N0.HOG0003691	OG0003621	-					BW25113_0383	b0383	PA3296
N0.HOG0003692	OG0003622	-					BW25113_0384	b0384	PA4874
N0.HOG0003693	OG0003623	-					BW25113_0391	b0391	PA1574
N0.HOG0003694	OG0003624	-					BW25113_0393	b0393	PA3263
N0.HOG0003695	OG0003625	-					BW25113_0422	b0422	PA4042
N0.HOG0003696	OG0003626	-					BW25113_0423	b0423	PA5118
N0.HOG0003697	OG0003627	-					BW25113_0453	b0453	PA3674
N0.HOG0003698	OG0003628	-					BW25113_0465	b0465	PA5022
N0.HOG0003699	OG0003629	-					BW25113_0483	b0483	PA4674
N0.HOG0003700	OG0003630	-					BW25113_0488	b0488	PA5211
N0.HOG0003701	OG0003631	-					BW25113_0492	b0492	PA4061
N0.HOG0003702	OG0003632	-					BW25113_0503	b0503	PA1643
N0.HOG0003703	OG0003633	-					BW25113_0507	b0507	PA1502
N0.HOG0003704	OG0003634	-					BW25113_0515	b0515	PA1140
N0.HOG0003705	OG0003635	-					BW25113_0516	b0516	PA0444
N0.HOG0003706	OG0003636	-					BW25113_0521	b0521	PA5173
N0.HOG0003707	OG0003637	-					BW25113_0527	b0527	PA4962
N0.HOG0003708	OG0003638	-					BW25113_0560	b0560, b1548	
N0.HOG0003709	OG0003639	-					BW25113_0581	b0581	PA2181
N0.HOG0003710	OG0003640	-					BW25113_0583	b0583	PA1165
N0.HOG0003711	OG0003641	-					BW25113_0585	b0585	PA2451
N0.HOG0003712	OG0003642	-					BW25113_0589	b0589	PA4161
N0.HOG0003713	OG0003643	-					BW25113_0590	b0590	PA4160
N0.HOG0003714	OG0003644	-					BW25113_0592	b0592	PA4159
N0.HOG0003715	OG0003645	-					BW25113_0601	b0601	PA2126
N0.HOG0003716	OG0003646	-					BW25113_0602	b0602	PA2127
N0.HOG0003717	OG0003647	-					BW25113_0604	b0604	PA2476
N0.HOG0003718	OG0003648	-					BW25113_0610	b0610	PA5274
N0.HOG0003719	OG0003649	-					BW25113_0616	b0616	PA0883
N0.HOG0003720	OG0003650	-					BW25113_0639	b0639	PA4006
N0.HOG0003721	OG0003651	-					BW25113_0677	b0677	PA3758
N0.HOG0003722	OG0003652	-					BW25113_0679	b0679	PA3761
N0.HOG0003723	OG0003653	-					BW25113_0707	b0707	PA4658
N0.HOG0003724	OG0003654	-					BW25113_0715	b0715	PA0751
N0.HOG0003725	OG0003655	-					BW25113_0777	b0777	PA0503
N0.HOG0003726	OG0003656	-					BW25113_0784	b0784	PA3917
N0.HOG0003727	OG0003657	-					BW25113_0790	b0790	PA2156
N0.HOG0003728	OG0003658	-					BW25113_0799	b0799	PA1045
N0.HOG0003729	OG0003659	-					BW25113_0801	b0801	PA1252
N0.HOG0003730	OG0003660	-					BW25113_0807	b0807	PA3840
N0.HOG0003731	OG0003661	-					BW25113_0808	b0808	PA5121
N0.HOG0003732	OG0003662	-					BW25113_0820	b0820	PA1964
N0.HOG0003733	OG0003663	-					BW25113_0852	b0852	PA5197
N0.HOG0003734	OG0003664	-					BW25113_0855	b0855	PA0302
N0.HOG0003735	OG0003665	-					BW25113_0857	b0857	PA0304
N0.HOG0003736	OG0003666	-					BW25113_0868	b0868	PA4361
N0.HOG0003737	OG0003667	-					BW25113_0869	b0869	PA0333
N0.HOG0003738	OG0003668	-					BW25113_0872	b0872	PA5411
N0.HOG0003739	OG0003669	-					BW25113_0902	b0902	PA1919
N0.HOG0003740	OG0003670	-					BW25113_0905	b0905	PA1926
N0.HOG0003741	OG0003671	-					BW25113_0917	b0917	PA2980
N0.HOG0003742	OG0003672	-					BW25113_0920	b0920	PA3985
N0.HOG0003743	OG0003673	-					BW25113_0921	b0921	PA4790
N0.HOG0003744	OG0003674	-					BW25113_0947	b0947	PA3022
N0.HOG0003745	OG0003675	-					BW25113_0953	b0953	PA3049
N0.HOG0003746	OG0003676	-					BW25113_0954	b0954	PA1610
N0.HOG0003747	OG0003677	-					BW25113_0968	b0968	PA0954
N0.HOG0003748	OG0003678	-					BW25113_0970	b0970	PA2604
N0.HOG0003749	OG0003679	-					BW25113_0992	b0992	PA3391
N0.HOG0003750	OG0003680	-					BW25113_1011	b1011	PA5507
N0.HOG0003751	OG0003681	-					BW25113_1033	b1033	PA1296
N0.HOG0003752	OG0003682	-					BW25113_1045	b1045	PA3693
N0.HOG0003753	OG0003683	-					BW25113_1048	b1048	PA5078
N0.HOG0003754	OG0003684	-					BW25113_1049	b1049	PA5077
N0.HOG0003755	OG0003685	-					BW25113_1067	b1067	PA3453
N0.HOG0003756	OG0003686	-					BW25113_1072	b1072	PA3350
N0.HOG0003757	OG0003687	-					BW25113_1073	b1073	PA1077
N0.HOG0003758	OG0003688	-					BW25113_1074	b1074	PA1078
N0.HOG0003759	OG0003689	-					BW25113_1075	b1075	PA1079
N0.HOG0003760	OG0003690	-					BW25113_1076	b1076	PA1080
N0.HOG0003761	OG0003691	-					BW25113_1077	b1077	PA1081
N0.HOG0003762	OG0003692	-					BW25113_1078	b1078	PA1082
N0.HOG0003763	OG0003693	-					BW25113_1079	b1079	PA1083
N0.HOG0003764	OG0003694	-					BW25113_1080	b1080	PA1084
N0.HOG0003765	OG0003695	-					BW25113_1081	b1081	PA1085
N0.HOG0003766	OG0003696	-					BW25113_1082	b1082	PA1086
N0.HOG0003767	OG0003697	-					BW25113_1083	b1083	PA1087
N0.HOG0003768	OG0003698	-					BW25113_1090	b1090	PA2969
N0.HOG0003769	OG0003699	-					BW25113_1101	b1101, b3682	
N0.HOG0003770	OG0003700	-					BW25113_1110	b1110	PA3819
N0.HOG0003771	OG0003701	-					BW25113_1130	b1130	PA1179
N0.HOG0003772	OG0003702	-					BW25113_1186	b1186	PA1820
N0.HOG0003773	OG0003703	-					BW25113_1188	b1188	PA0586
N0.HOG0003774	OG0003704	-					BW25113_1191	b1191	PA5021
N0.HOG0003775	OG0003705	-					BW25113_1192	b1192	PA5198
N0.HOG0003776	OG0003706	-					BW25113_1197	b1197	PA2416
N0.HOG0003777	OG0003707	-					BW25113_1214	b1214	PA3419
N0.HOG0003778	OG0003708	-					BW25113_1222	b1222	PA3878
N0.HOG0003779	OG0003709	-					BW25113_1252	b1252	PA5531
N0.HOG0003780	OG0003710	-					BW25113_1257	b1257	PA2184
N0.HOG0003781	OG0003711	-					BW25113_1264	b1264	PA1001
N0.HOG0003782	OG0003712	-					BW25113_1270	b1270	PA1272
N0.HOG0003783	OG0003713	-					BW25113_1282	b1282	PA4840
N0.HOG0003784	OG0003714	-					BW25113_1298	b1298	PA0297
N0.HOG0003785	OG0003715	-					BW25113_1324	b1324	PA2532
N0.HOG0003786	OG0003716	-					BW25113_1339	b1339	PA2921
N0.HOG0003787	OG0003717	-					BW25113_1340	b1340	PA1675
N0.HOG0003788	OG0003718	-					BW25113_1343	b1343	PA0455
N0.HOG0003789	OG0003719	-					BW25113_1382	b1382	PA5306
N0.HOG0003790	OG0003720	-					BW25113_1383	b1383	PA5305
N0.HOG0003791	OG0003721	-					BW25113_1408	b1408	PA2541
N0.HOG0003792	OG0003722	-					BW25113_1409	b1409	PA2536
N0.HOG0003793	OG0003723	-					BW25113_1410	b1410	PA2540
N0.HOG0003794	OG0003724	-					BW25113_1411	b1411	PA2539
N0.HOG0003795	OG0003725	-					BW25113_1422	b1422	PA0152
N0.HOG0003796	OG0003726	-					BW25113_1463	b1463	PA4827
N0.HOG0003797	OG0003727	-					BW25113_1478	b1478	PA5427
N0.HOG0003798	OG0003728	-					BW25113_1482	b1482	PA0059
N0.HOG0003799	OG0003729	-					BW25113_1518	b1518	PA0709
N0.HOG0003800	OG0003730	-					BW25113_1519	b1519	PA2564
N0.HOG0003801	OG0003731	-					BW25113_1529	b1529	PA5205
N0.HOG0003802	OG0003732	-					BW25113_1534	b1534	PA1212
N0.HOG0003803	OG0003733	-					BW25113_1599	b1599	PA1540
N0.HOG0003804	OG0003734	-					BW25113_1600	b1600	PA1541
N0.HOG0003805	OG0003735	-					BW25113_1606	b1606	PA3437
N0.HOG0003806	OG0003736	-					BW25113_1621	b3683, b1621	
N0.HOG0003807	OG0003737	-					BW25113_1624	b1624	PA5149
N0.HOG0003808	OG0003738	-					BW25113_1629	b1629	PA3491
N0.HOG0003809	OG0003739	-					BW25113_1631	b1631	PA3493
N0.HOG0003810	OG0003740	-					BW25113_1636	b1636	PA5516
N0.HOG0003811	OG0003741	-					BW25113_1639	b1639	PA0867
N0.HOG0003812	OG0003742	-					BW25113_1641	b1641	PA1053
N0.HOG0003813	OG0003743	-					BW25113_1653	b1653	PA3272
N0.HOG0003814	OG0003744	-					BW25113_1679	b1679	PA3668
N0.HOG0003815	OG0003745	-					BW25113_1686	b1686	PA1618
N0.HOG0003816	OG0003746	-					BW25113_1692	b1692	PA0244
N0.HOG0003817	OG0003747	-					BW25113_1739	b1739	PA4876
N0.HOG0003818	OG0003748	-					BW25113_1740	b1740	PA4920
N0.HOG0003819	OG0003749	-					BW25113_1758	b1758	PA3857
N0.HOG0003820	OG0003750	-					BW25113_1764	b1764	PA1642
N0.HOG0003821	OG0003751	-					BW25113_1781	b1781	PA0804
N0.HOG0003822	OG0003752	-					BW25113_1783	b1783	PA0588
N0.HOG0003823	OG0003753	-					BW25113_1784	b1784	PA0587
N0.HOG0003824	OG0003754	-					BW25113_1791	b1791	PA1626
N0.HOG0003825	OG0003755	-					BW25113_1821	b1821	PA2910
N0.HOG0003826	OG0003756	-					BW25113_1832	b1832	PA2822
N0.HOG0003827	OG0003757	-					BW25113_1834	b1834	PA4689
N0.HOG0003828	OG0003758	-					BW25113_1843	b1843	PA4802
N0.HOG0003829	OG0003759	-					BW25113_1845	b1845	PA1304
N0.HOG0003830	OG0003760	-					BW25113_1846	b1846	PA3712
N0.HOG0003831	OG0003761	-					BW25113_1848	b1848	PA3413
N0.HOG0003832	OG0003762	-					BW25113_1867	b1867	PA3066
N0.HOG0003833	OG0003763	-					BW25113_1870	b1870	PA0775
N0.HOG0003834	OG0003764	-					BW25113_1881	b1881	PA1457
N0.HOG0003835	OG0003765	-					BW25113_1889	b1889	PA4953
N0.HOG0003836	OG0003766	-					BW25113_1922	b1922	PA1455
N0.HOG0003837	OG0003767	-					BW25113_1923	b1923	PA1092
N0.HOG0003838	OG0003768	-					BW25113_1924	b1924	PA1094
N0.HOG0003839	OG0003769	-					BW25113_1925	b1925	PA1095
N0.HOG0003840	OG0003770	-					BW25113_1930	b1930	PA3632
N0.HOG0003841	OG0003771	-					BW25113_1937	b1937	PA1100
N0.HOG0003842	OG0003772	-					BW25113_1938	b1938	PA1101
N0.HOG0003843	OG0003773	-					BW25113_1939	b1939	PA1102
N0.HOG0003844	OG0003774	-					BW25113_1940	b1940	PA1103
N0.HOG0003845	OG0003775	-					BW25113_1942	b1942	PA1105
N0.HOG0003846	OG0003776	-					BW25113_1943	b1943	PA1441
N0.HOG0003847	OG0003777	-					BW25113_1945	b1945	PA1443
N0.HOG0003848	OG0003778	-					BW25113_1946	b1946	PA1444
N0.HOG0003849	OG0003779	-					BW25113_1947	b1947	PA1445
N0.HOG0003850	OG0003780	-					BW25113_1972	b1972	PA4691
N0.HOG0003851	OG0003781	-					BW25113_1976	b1976	PA4030
N0.HOG0003852	OG0003782	-					BW25113_1982	b1982	PA3970
N0.HOG0003853	OG0003783	-					BW25113_2011	b2011	PA4316
N0.HOG0003854	OG0003784	-					BW25113_2038	b2038	PA5164
N0.HOG0003855	OG0003785	-					BW25113_2044	b2044	PA1385
N0.HOG0003856	OG0003786	-					BW25113_2064	b2064	PA5146
N0.HOG0003857	OG0003787	-					BW25113_2067	b2067	PA1181
N0.HOG0003858	OG0003788	-					BW25113_2068	b2068	PA1686
N0.HOG0003859	OG0003789	-					BW25113_2069	b2069	PA4873
N0.HOG0003860	OG0003790	-					BW25113_2086	b2086	PA3023
N0.HOG0003861	OG0003791	-					BW25113_2092, BW25113_4304	b4304	
N0.HOG0003862	OG0003792	-					BW25113_2101	b2101	PA3757
N0.HOG0003863	OG0003793	-					BW25113_2124	b2124	PA0915
N0.HOG0003864	OG0003794	-					BW25113_2129	b2129	PA3891
N0.HOG0003865	OG0003795	-					BW25113_2131	b2131	PA3889
N0.HOG0003866	OG0003796	-					BW25113_2132	b2132	PA1726
N0.HOG0003867	OG0003797	-					BW25113_2136	b2136	PA5244
N0.HOG0003868	OG0003798	-					BW25113_2141	b2141	PA4014
N0.HOG0003869	OG0003799	-					BW25113_2146	b2146	PA0440
N0.HOG0003870	OG0003800	-					BW25113_2147	b2147	PA0439
N0.HOG0003871	OG0003801	-					BW25113_2155	b2155	PA1922
N0.HOG0003872	OG0003802	-					BW25113_2158	b2158	PA5383
N0.HOG0003873	OG0003803	-					BW25113_2174	b2174	PA5194
N0.HOG0003874	OG0003804	-					BW25113_2188	b2188	PA0924
N0.HOG0003875	OG0003805	-					BW25113_2196	b2196	PA1480
N0.HOG0003876	OG0003806	-					BW25113_2197	b2197	PA1479
N0.HOG0003877	OG0003807	-					BW25113_2199	b2199	PA1477
N0.HOG0003878	OG0003808	-					BW25113_2200	b2200	PA1476
N0.HOG0003879	OG0003809	-					BW25113_2201	b2201	PA1475
N0.HOG0003880	OG0003810	-					BW25113_2202	b2202	PA1172
N0.HOG0003881	OG0003811	-					BW25113_2203	b2203	PA1173
N0.HOG0003882	OG0003812	-					BW25113_2207	b2207	PA1175
N0.HOG0003883	OG0003813	-					BW25113_2208	b2208	PA1176
N0.HOG0003884	OG0003814	-					BW25113_2209	b2209	PA2755
N0.HOG0003885	OG0003815	-					BW25113_2211	b2211	PA2397
N0.HOG0003886	OG0003816	-					BW25113_2214	b2214	PA2993
N0.HOG0003887	OG0003817	-					BW25113_2226	b2226	PA4488
N0.HOG0003888	OG0003818	-					BW25113_2229	b2229	PA4490
N0.HOG0003889	OG0003819	-					BW25113_2230	b2230	PA4491
N0.HOG0003890	OG0003820	-					BW25113_2240	b2240	PA5235
N0.HOG0003891	OG0003821	-					BW25113_4543, BW25113_2244	b2244	
N0.HOG0003892	OG0003822	-					BW25113_2254	b2254	PA3553
N0.HOG0003893	OG0003823	-					BW25113_2255	b2255	PA3554
N0.HOG0003894	OG0003824	-					BW25113_2256	b2256	PA3555
N0.HOG0003895	OG0003825	-					BW25113_2258	b2258	PA3558
N0.HOG0003896	OG0003826	-					BW25113_2263	b2263	PA4152
N0.HOG0003897	OG0003827	-					BW25113_2292	b2292	PA3839
N0.HOG0003898	OG0003828	-					BW25113_2299	b2299	PA4841
N0.HOG0003899	OG0003829	-					BW25113_2300	b2300	PA0351
N0.HOG0003900	OG0003830	-					BW25113_2303	b2303	PA3439
N0.HOG0003901	OG0003831	-					BW25113_2311	b2311	PA4019
N0.HOG0003902	OG0003832	-					BW25113_2314	b2314	PA3110
N0.HOG0003903	OG0003833	-					BW25113_2319	b2319	PA3116
N0.HOG0003904	OG0003834	-					BW25113_2379	b2379	PA4715
N0.HOG0003905	OG0003835	-					BW25113_2388	b2388	PA3193
N0.HOG0003906	OG0003836	-					BW25113_2407	b2407	PA3004
N0.HOG0003907	OG0003837	-					BW25113_2412	b2412	PA1528
N0.HOG0003908	OG0003838	-					BW25113_2413	b2413	PA0846
N0.HOG0003909	OG0003839	-					BW25113_2420	b2115, b2420	
N0.HOG0003910	OG0003840	-					BW25113_2452	b2452	PA1491
N0.HOG0003911	OG0003841	-					BW25113_2473	b2473	PA3859
N0.HOG0003912	OG0003842	-					BW25113_2479	b2479	PA1009
N0.HOG0003913	OG0003843	-					BW25113_2520	b2520	PA4489
N0.HOG0003914	OG0003844	-					BW25113_2534	b2534	PA3695
N0.HOG0003915	OG0003845	-					BW25113_2570	b2570	PA0765
N0.HOG0003916	OG0003846	-					BW25113_2571	b2571	PA0764
N0.HOG0003917	OG0003847	-					BW25113_2572	b2572	PA0763
N0.HOG0003918	OG0003848	-					BW25113_2576	b2576	PA3466
N0.HOG0003919	OG0003849	-					BW25113_2583	b2583	PA3606
N0.HOG0003920	OG0003850	-					BW25113_2586	b2586	PA0488
N0.HOG0003921	OG0003851	-					BW25113_2619	b2619	PA4767
N0.HOG0003922	OG0003852	-					BW25113_2625	b2625, b4688	
N0.HOG0003923	OG0003853	-					BW25113_2645	b2645, b0266	
N0.HOG0003924	OG0003854	-					BW25113_2666	b2666	PA0567
N0.HOG0003925	OG0003855	-					BW25113_2707	b2707	PA5550
N0.HOG0003926	OG0003856	-					BW25113_2709	b2709	PA2665
N0.HOG0003927	OG0003857	-					BW25113_2741	b2741	PA3622
N0.HOG0003928	OG0003858	-					BW25113_2743	b2743	PA3624
N0.HOG0003929	OG0003859	-					BW25113_2745	b2745	PA3626
N0.HOG0003930	OG0003860	-					BW25113_2750	b2750	PA1393
N0.HOG0003931	OG0003861	-					BW25113_2765	b2765	PA2666
N0.HOG0003932	OG0003862	-					BW25113_2770	b2770	PA5401
N0.HOG0003933	OG0003863	-					BW25113_2776	b2776	PA3024
N0.HOG0003934	OG0003864	-					BW25113_2790	b2790	PA3435
N0.HOG0003935	OG0003865	-					BW25113_2792	b2792	PA4698
N0.HOG0003936	OG0003866	-					BW25113_2795	b2795	PA4115
N0.HOG0003937	OG0003867	-					BW25113_2803	b3904, b2803	
N0.HOG0003938	OG0003868	-					BW25113_2806	b2806	PA1563
N0.HOG0003939	OG0003869	-					BW25113_2813	b2813	PA1222
N0.HOG0003940	OG0003870	-					BW25113_2821	b2821	PA1973
N0.HOG0003941	OG0003871	-					BW25113_2851	b2851	PA1707
N0.HOG0003942	OG0003872	-					BW25113_2873	b2873	PA0441
N0.HOG0003943	OG0003873	-					BW25113_2910	b2910	PA5227
N0.HOG0003944	OG0003874	-					BW25113_2938	b2938	PA4839
N0.HOG0003945	OG0003875	-					BW25113_2944	b2944	PA1189
N0.HOG0003946	OG0003876	-					BW25113_2945	b2945	PA2749
N0.HOG0003947	OG0003877	-					BW25113_3002	b3002	PA4574
N0.HOG0003948	OG0003878	-					BW25113_3018	b3018	PA0005
N0.HOG0003949	OG0003879	-					BW25113_3033	b3033	PA4970
N0.HOG0003950	OG0003880	-					BW25113_3051	b3051	PA3729
N0.HOG0003951	OG0003881	-					BW25113_3052	b3052	PA4996
N0.HOG0003952	OG0003882	-					BW25113_3055	b3055	PA4154
N0.HOG0003953	OG0003883	-					BW25113_3059	b3059	PA0581
N0.HOG0003954	OG0003884	-					BW25113_3070	b3070	PA2033
N0.HOG0003955	OG0003885	-					BW25113_3076	b0344, b3076	
N0.HOG0003956	OG0003886	-					BW25113_3084	b3084	PA4617
N0.HOG0003957	OG0003887	-					BW25113_3085	b3085	PA0560
N0.HOG0003958	OG0003888	-					BW25113_3097	b3097	PA0542
N0.HOG0003959	OG0003889	-					BW25113_3102	b3102	PA2610
N0.HOG0003960	OG0003890	-					BW25113_3147	b3147	PA4423
N0.HOG0003961	OG0003891	-					BW25113_3149	b3149	PA4425
N0.HOG0003962	OG0003892	-					BW25113_3155	b3155	PA3854
N0.HOG0003963	OG0003893	-					BW25113_3157	b3157	PA3911
N0.HOG0003964	OG0003894	-					BW25113_3158	b3158	PA3913
N0.HOG0003965	OG0003895	-					BW25113_3159	b3159	PA3912
N0.HOG0003966	OG0003896	-					BW25113_3161	b3161	PA5434
N0.HOG0003967	OG0003897	-					BW25113_3162	b3162	PA2840
N0.HOG0003968	OG0003898	-					BW25113_3182	b3182	PA3047
N0.HOG0003969	OG0003899	-					BW25113_3204	b3204	PA4464
N0.HOG0003970	OG0003900	-					BW25113_3253	b3253	PA1833
N0.HOG0003971	OG0003901	-					BW25113_3290	b3290	PA0016
N0.HOG0003972	OG0003902	-					BW25113_3329	b3329	PA3100
N0.HOG0003973	OG0003903	-					BW25113_3344	b3344	PA2606
N0.HOG0003974	OG0003904	-					BW25113_3353	b3353	PA0368
N0.HOG0003975	OG0003905	-					BW25113_3354	b3354	PA3463
N0.HOG0003976	OG0003906	-					BW25113_3388	b3388	PA5037
N0.HOG0003977	OG0003907	-					BW25113_3397	b3397	PA5176
N0.HOG0003978	OG0003908	-					BW25113_3403	b3403	PA5192
N0.HOG0003979	OG0003909	-					BW25113_3408	b3408	PA4359
N0.HOG0003980	OG0003910	-					BW25113_3410	b3410	PA4357
N0.HOG0003981	OG0003911	-					BW25113_3416	b3416	PA2163
N0.HOG0003982	OG0003912	-					BW25113_3424	b3424	PA3086
N0.HOG0003983	OG0003913	-					BW25113_3429	b3429	PA2165
N0.HOG0003984	OG0003914	-					BW25113_3431	b3431	PA2160
N0.HOG0003985	OG0003915	-					BW25113_3441	b3441	PA1377
N0.HOG0003986	OG0003916	-					BW25113_3462	b3462	PA0375
N0.HOG0003987	OG0003917	-					BW25113_3463	b3463	PA0374
N0.HOG0003988	OG0003918	-					BW25113_3471	b3471	PA0013
N0.HOG0003989	OG0003919	-					BW25113_3473	b3473	PA1993
N0.HOG0003990	OG0003920	-					BW25113_3487	b3487	PA5232
N0.HOG0003991	OG0003921	-					BW25113_3500	b3500	PA2025
N0.HOG0003992	OG0003922	-					BW25113_3502	b3502	PA2278
N0.HOG0003993	OG0003923	-					BW25113_3518	b3518	PA4587
N0.HOG0003994	OG0003924	-					BW25113_3524	b3524	PA4879
N0.HOG0003995	OG0003925	-					BW25113_3533	b3533	PA1163
N0.HOG0003996	OG0003926	-					BW25113_3541	b3541	PA4505
N0.HOG0003997	OG0003927	-					BW25113_3542	b3542	PA4504
N0.HOG0003998	OG0003928	-					BW25113_3564	b3564	PA2343
N0.HOG0003999	OG0003929	-					BW25113_3577	b3577	PA3780
N0.HOG0004000	OG0003930	-					BW25113_3579	b3579	PA3779
N0.HOG0004001	OG0003931	-					BW25113_3590	b3590	PA4807
N0.HOG0004002	OG0003932	-					BW25113_3591	b3591	PA4808
N0.HOG0004003	OG0003933	-					BW25113_3613	b3613	PA5133
N0.HOG0004004	OG0003934	-					BW25113_3614	b3614	PA5135
N0.HOG0004005	OG0003935	-					BW25113_3620	b3620	PA5012
N0.HOG0004006	OG0003936	-					BW25113_3621	b3621	PA5011
N0.HOG0004007	OG0003937	-					BW25113_3630	b3630	PA5009
N0.HOG0004008	OG0003938	-					BW25113_3631	b3631	PA5010
N0.HOG0004009	OG0003939	-					BW25113_3644	b3644	PA5335
N0.HOG0004010	OG0003940	-					BW25113_3687	b3687	PA3126
N0.HOG0004011	OG0003941	-					BW25113_3715	b3715	PA0562
N0.HOG0004012	OG0003942	-					BW25113_3717	b3717	PA1536
N0.HOG0004013	OG0003943	-					BW25113_3750	b3750	PA1948
N0.HOG0004014	OG0003944	-					BW25113_3751	b3751	PA1946
N0.HOG0004015	OG0003945	-					BW25113_3802	b3802	PA5257
N0.HOG0004016	OG0003946	-					BW25113_3803	b3803	PA5258
N0.HOG0004017	OG0003947	-					BW25113_3804	b3804	PA5259
N0.HOG0004018	OG0003948	-					BW25113_3806	b3806	PA5272
N0.HOG0004019	OG0003949	-					BW25113_3807	b3807	PA5275
N0.HOG0004020	OG0003950	-					BW25113_3812	b3812	PA5281
N0.HOG0004021	OG0003951	-					BW25113_3822	b3822	PA3344
N0.HOG0004022	OG0003952	-					BW25113_3827	b3827	PA3474
N0.HOG0004023	OG0003953	-					BW25113_3832	b3832	PA1031
N0.HOG0004024	OG0003954	-					BW25113_3859	b3859	PA0486
N0.HOG0004025	OG0003955	-					BW25113_3867	b3867	PA1546
N0.HOG0004026	OG0003956	-					BW25113_3891	b3891	PA4809
N0.HOG0004027	OG0003957	-					BW25113_3908	b3908	PA4468
N0.HOG0004028	OG0003958	-					BW25113_3915	b3915	PA3963
N0.HOG0004029	OG0003959	-					BW25113_3927	b3927	PA3581
N0.HOG0004030	OG0003960	-					BW25113_3931	b3931	PA5054
N0.HOG0004031	OG0003961	-					BW25113_3932	b3932	PA5053
N0.HOG0004032	OG0003962	-					BW25113_3944	b3944	PA1573
N0.HOG0004033	OG0003963	-					BW25113_3955	b3955	PA4517
N0.HOG0004034	OG0003964	-					BW25113_3995	b3995	PA5255
N0.HOG0004035	OG0003965	-					BW25113_4016	b4016	PA1376
N0.HOG0004036	OG0003966	-					BW25113_4035	b4035	PA2341
N0.HOG0004037	OG0003967	-					BW25113_4044	b4044	PA4821
N0.HOG0004038	OG0003968	-					BW25113_4045	b4045	PA4738
N0.HOG0004039	OG0003969	-					BW25113_4056	b4056	PA5286
N0.HOG0004040	OG0003970	-					BW25113_4065	b4065	PA3660
N0.HOG0004041	OG0003971	-					BW25113_4075	b4075	PA1482
N0.HOG0004042	OG0003972	-					BW25113_4076	b4076	PA1483
N0.HOG0004043	OG0003973	-					BW25113_4080	b4080	PA5158
N0.HOG0004044	OG0003974	-					BW25113_4083	b4083	PA0740
N0.HOG0004045	OG0003975	-					BW25113_4092	b4092	PA3372
N0.HOG0004046	OG0003976	-					BW25113_4094	b4094	PA3373
N0.HOG0004047	OG0003977	-					BW25113_4095	b4095	PA3374
N0.HOG0004048	OG0003978	-					BW25113_4096	b4096	PA3375
N0.HOG0004049	OG0003979	-					BW25113_4097	b4097	PA3376
N0.HOG0004050	OG0003980	-					BW25113_4098	b4098	PA3377
N0.HOG0004051	OG0003981	-					BW25113_4099	b4099	PA3378
N0.HOG0004052	OG0003982	-					BW25113_4100	b4100	PA3379
N0.HOG0004053	OG0003983	-					BW25113_4101	b4101	PA3380
N0.HOG0004054	OG0003984	-					BW25113_4102	b4102	PA3381
N0.HOG0004055	OG0003985	-					BW25113_4174	b4174	PA4942
N0.HOG0004056	OG0003986	-					BW25113_4175	b4175	PA4941
N0.HOG0004057	OG0003987	-					BW25113_4176	b4176	PA4940
N0.HOG0004058	OG0003988	-					BW25113_4181	b4181	PA3732
N0.HOG0004059	OG0003989	-					BW25113_4182	b4182	PA3731
N0.HOG0004060	OG0003990	-					BW25113_4235	b4235	PA4472
N0.HOG0004061	OG0003991	-					BW25113_4238	b4238	PA1920
N0.HOG0004062	OG0003992	-					BW25113_4239	b4239	PA2152
N0.HOG0004063	OG0003993	-					BW25113_4280	b4280	PA0237
N0.HOG0004064	OG0003994	-					BW25113_4359	b4359	PA1689
N0.HOG0004065	OG0003995	-					BW25113_4376	b4376	PA4739
N0.HOG0004066	OG0003996	-					BW25113_4397	b4397	PA4564
N0.HOG0004067	OG0003997	-					BW25113_4399	b4399	PA0464
N0.HOG0004068	OG0003998	-					BW25113_4400	b4400	PA0465
N0.HOG0004069	OG0003999	-					BW25113_4463	b4463	PA3026
N0.HOG0004070	OG0004000	-					BW25113_4467	b4467	PA5353
